,,Survey (newest),,,,,,,,,,,,,,,,
11002,11,I enjoy clear structure/protocol/rules in sexual dynamics.,379,10,4.8,3,7,0,37.90%,2.64%,0.79%,1.85%,0.00%,-0.501,-0.525,0.279,-1.295,-2.041
11003,11,In sex I most naturally…,369,6,5.6,2,5,1,36.90%,1.63%,0.54%,1.36%,0.27%,0.074,-1.042,-0.296,-0.406,-1.670
11004,11,I feel most connected sexually when I’m soothing or stabilizing my partner’s emotions.,363,7,7.1,4,6,0,36.30%,1.93%,1.10%,1.65%,0.00%,1.152,0.119,0.053,-1.295,0.029
14020,14,What most reliably motivates you to want sex?,356,7,4,2,3,1,35.60%,1.97%,0.56%,0.84%,0.28%,-1.076,-1.001,-0.895,-0.374,-3.346
14021,14,I seek intense sex to escape numbness/stress or to feel something.,349,8,3.6,4,4,1,34.90%,2.29%,1.15%,1.15%,0.29%,-1.363,0.211,-0.540,-0.355,-2.047
15000,15,This section covers basic background information and daily habits. These details help us interpret patterns across different groups and understand how lifestyle factors shape wellbeing.,341,10,6.6,6,5,1,34.10%,2.93%,1.76%,1.47%,0.29%,0.793,1.484,-0.166,-0.333,1.778
15001,15,What would you like to understand about yourself through this survey?,331,6,5.5,3,3,1,33.10%,1.81%,0.91%,0.91%,0.30%,0.002,-0.286,-0.820,-0.304,-1.408
15002,15,Which country do you live in?,325,6,7.9,4,3,1,32.50%,1.85%,1.23%,0.92%,0.31%,1.727,0.387,-0.801,-0.286,1.028
15003,15,Which ZIP / postal code do you live in?,319,4,4.3,3,6,1,31.90%,1.25%,0.94%,1.88%,0.31%,-0.860,-0.216,0.319,-0.267,-1.024
15004,15,What year are you born? ,315,5,3.5,2,3,1,31.50%,1.59%,0.63%,0.95%,0.32%,-1.435,-0.850,-0.766,-0.254,-3.305
15005,15,What is your gender identity?,310,4,4.7,1,2,3,31.00%,1.29%,0.32%,0.65%,0.97%,-0.573,-1.498,-1.126,1.880,-1.316
15006,15,What is your sexual orientation?,306,4,3.5,4,7,0,30.60%,1.31%,1.31%,2.29%,0.00%,-1.435,0.545,0.795,-1.295,-1.391
15007,15,What relationship structure are you currently in?,302,5,5.3,4,3,1,30.20%,1.66%,1.32%,0.99%,0.33%,-0.141,0.581,-0.719,-0.209,-0.488
15008,15,Which aspects of your sexual life do you wish to improve? ,297,6,5.7,3,4,0,29.70%,2.02%,1.01%,1.35%,0.00%,0.146,-0.071,-0.305,-1.295,-1.526
15009,15,"When you reflect on your current sexuality and pleasure, which description feels most true for you?",291,5,5.1,4,3,2,29.10%,1.72%,1.37%,1.03%,0.69%,-0.285,0.685,-0.675,0.960,0.685
15010,15,Where would you like your sexuality to be in 3–6 months?,286,6,5.4,3,4,1,28.60%,2.10%,1.05%,1.40%,0.35%,-0.070,0.009,-0.245,-0.148,-0.453
15011,15,How rested do you usually feel when you wake up?,280,4,5.5,3,6,2,28.00%,1.43%,1.07%,2.14%,0.71%,0.002,0.056,0.625,1.048,1.732
15012,15,How high is your overall stress level most of the time?,276,5,4.2,2,5,1,27.60%,1.81%,0.72%,1.81%,0.36%,-0.932,-0.663,0.238,-0.107,-1.464
15013,15,"Do you currently do sports or other physical activity that raises your heartbeat (walking fast, gym, dancing, etc.)?",271,5,3.5,4,4,0,27.10%,1.85%,1.48%,1.48%,0.00%,-1.435,0.896,-0.154,-1.295,-1.989
15014,15,Do you have children?,266,4,5.1,2,3,1,26.60%,1.50%,0.75%,1.13%,0.38%,-0.285,-0.607,-0.561,-0.062,-1.515
15015,15,"Do you live with any long-term physical or mental health conditions that affect your energy, mood or everyday functioning?",262,5,5.9,5,1,1,26.20%,1.91%,1.91%,0.38%,0.38%,0.290,1.793,-1.434,-0.043,0.606
15016,15,"Are you currently taking any medication or hormones that you feel might influence your energy, mood or sexual drive (for example antidepressants, hormonal contraception, testosterone, etc.)?",257,6,6.4,4,2,1,25.70%,2.33%,1.56%,0.78%,0.39%,0.649,1.062,-0.970,-0.019,0.723
15017,15,How often do you drink alcohol or use other substances in connection with intimacy?,251,4,5.5,4,7,1,25.10%,1.59%,1.59%,2.79%,0.40%,0.002,1.140,1.381,0.012,2.534
